index,Release,Category,AN Type,Initial Published Date,Latest Published Date,Earliest Effective Date,AN Reference Number,Announcement Title,Announcement Short Description,"Announcement Applies To
(applies to who)","Applicable Geography
(applies to where)",Mandate Flag,Testing Required,Action Indicators,Systems Impacted,"Entitled Viewers

Audiences and Geographies who may view in TRC",G_values,Links
474,--,Pricing/Fees,Bulletin Announcement,2023-03-28 00:00:00,2023-05-09 00:00:00,2023-07-01 00:00:00,AN 7554,AN 7554 Cross-border Scheme Development Fee for Mexico,Mastercard is introducing the Cross-border Scheme Development Fee to all issuers and acquirers in Mexico.,"Acquirer, Issuer, Processor",Mexico,No,No,"Attention warranted (Brand-related), Financial impact",Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7554,https://techdocs.mastercard.com/bundle/m_an7554_en-us
475,--,Pricing/Fees,Bulletin Announcement,2023-03-28 00:00:00,2023-05-09 00:00:00,2023-07-01 00:00:00,AN 7554,AN 7554 Cross-border Scheme Development Fee for Mexico,Mastercard is introducing the Cross-border Scheme Development Fee to all issuers and acquirers in Mexico.,"Acquirer, Issuer, Processor",Mexico,No,No,"Attention warranted (Brand-related), Financial impact",Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7554,https://techdocs.mastercard.com/bundle/m_an7554_en-us
524,--,Pricing/Fees,Bulletin Announcement,2023-04-04 00:00:00,2023-05-09 00:00:00,2023-07-03 00:00:00,AN 7610,AN 7610 Fund Revision in Israel,Mastercard is announcing the revision of the Tourism Development and Innovation Fund in Israel.,"Acquirer, Issuer, Processor",Israel,No,No,Financial impact,"Clearing, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7610,https://techdocs.mastercard.com/bundle/m_an7610_en-us
525,--,Pricing/Fees,Bulletin Announcement,2023-04-04 00:00:00,2023-05-09 00:00:00,2023-07-03 00:00:00,AN 7610,AN 7610 Fund Revision in Israel,Mastercard is announcing the revision of the Tourism Development and Innovation Fund in Israel.,"Acquirer, Issuer, Processor",Israel,No,No,Financial impact,"Clearing, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7610,https://techdocs.mastercard.com/bundle/m_an7610_en-us
536,--,Pricing/Fees,Bulletin Announcement,2023-04-11 00:00:00,2023-05-09 00:00:00,2023-07-10 00:00:00,AN 7645,AN 7645 Pricing for Account Level Management Product Graduation Plus and ALM Performance Optimizer Service in the Middle East/Africa Region and Select Countries in the Europe Region,Mastercard is announcing the pricing for Account Level Management (ALM) Product Graduation Plus (PGP) bundled with ALM Performance Optimizer for credit and debit products in all countries in the Middle East/Africa region and select countries in the Europe region (Eastern Europe).,Issuer,"All countries in the Middle East/Africa region, Select countries in the Europe region",No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7645,https://techdocs.mastercard.com/bundle/m_an7645_en-us
537,--,Pricing/Fees,Bulletin Announcement,2023-04-11 00:00:00,2023-05-09 00:00:00,2023-07-10 00:00:00,AN 7645,AN 7645 Pricing for Account Level Management Product Graduation Plus and ALM Performance Optimizer Service in the Middle East/Africa Region and Select Countries in the Europe Region,Mastercard is announcing the pricing for Account Level Management (ALM) Product Graduation Plus (PGP) bundled with ALM Performance Optimizer for credit and debit products in all countries in the Middle East/Africa region and select countries in the Europe region (Eastern Europe).,Issuer,"All countries in the Middle East/Africa region, Select countries in the Europe region",No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7645,https://techdocs.mastercard.com/bundle/m_an7645_en-us
683,--,Pricing/Fees,Bulletin Announcement,2023-04-25 00:00:00,2023-05-09 00:00:00,"2023-05-03, 2023-08-01",AN 7659,AN 7659 Introduction of Cyber Threat Simulation Program in Selected Eastern Europe Countries,Mastercard is announcing the Cyber Threat Simulation Program with Mastercard Threat Scan and Cyber Front Lite (CF Lite) in selected Eastern Europe countries on an opt-out basis.,Issuer,"Armenia, Azerbaijan, Georgia, Kyrgyzstan, Moldova",No,No,"Attention warranted (Program/service-related), Financial impact",Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7659,https://techdocs.mastercard.com/bundle/m_an7659_en-us
684,--,Pricing/Fees,Bulletin Announcement,2023-04-25 00:00:00,2023-05-09 00:00:00,"2023-05-03, 2023-08-01",AN 7659,AN 7659 Introduction of Cyber Threat Simulation Program in Selected Eastern Europe Countries,Mastercard is announcing the Cyber Threat Simulation Program with Mastercard Threat Scan and Cyber Front Lite (CF Lite) in selected Eastern Europe countries on an opt-out basis.,Issuer,"Armenia, Azerbaijan, Georgia, Kyrgyzstan, Moldova",No,No,"Attention warranted (Program/service-related), Financial impact",Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer",AN 7659,https://techdocs.mastercard.com/bundle/m_an7659_en-us
707,--,Interchange and Service Fees,Bulletin announcement,2023-05-02 00:00:00,2023-05-16 00:00:00,"2023-06-25, 2023-06-26",AN 7759,AN 7759 Adjusting Intracountry Interchange Rates for Debit and Prepaid Purchase Transactions in Uruguay,Mastercard is adjusting intracountry interchange rates for debit and prepaid purchase transactions in Uruguay.,"Acquirer, Issuer, Processor",Uruguay,Yes,No,"Network mandate, Attention warranted (network-related)","Clearing, Single Message System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7759,https://techdocs.mastercard.com/bundle/m_an7759_en-us
708,--,Interchange and Service Fees,Bulletin announcement,2023-05-02 00:00:00,2023-05-16 00:00:00,"2023-06-25, 2023-06-26",AN 7759,AN 7759 Adjusting Intracountry Interchange Rates for Debit and Prepaid Purchase Transactions in Uruguay,Mastercard is adjusting intracountry interchange rates for debit and prepaid purchase transactions in Uruguay.,"Acquirer, Issuer, Processor",Uruguay,Yes,No,"Network mandate, Attention warranted (network-related)","Clearing, Single Message System","audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7759,https://techdocs.mastercard.com/bundle/m_an7759_en-us
